concept_uri,preferred_label,description
http://data.europa.eu/esco/skill/00eefa32-9f77-4500-abe9-20afc7924a9d,Kaltvulkanisation,"Technik zur Reparatur defekter Reifen, insbesondere Fahrradreifen, bestehend aus dem Schleifen der Oberfläche um den Riss, dem Auftragen einer Vulkanisierungslösung und der Befestigung eines Flickens auf dem Riss."
http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,die Haushaltsführung beaufsichtigen,"Beaufsichtigen der täglichen Service- und Reinigungsarbeiten in Zimmern und öffentlichen Räumen, um den kontinuierlichen Betrieb zu gewährleisten."
http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,bei einer Gerätestörung als Ansprechperson agieren,"Funktion als Ansprechperson, die im Falle einer Gerätestörung zu kontaktieren ist. Mitwirken an der Untersuchung durch die Bereitstellung wertvoller Einblicke."
http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,Zeitabläufe im Landschaftsbau managen,"Planen und Umsetzen von Arbeitsplänen zur Abstimmung der Aktivitäten im Landschaftsbau, einschließlich der Briefing-Phase, in der das Landschaftsprojekt mit dem Kunden erörtert wird, gefolgt von einer Reihe von Skizzen, Plänen und Entwürfen."
http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf,Beratung zu Zollbestimmungen leisten,"Bereitstellen von Informationen über Einfuhr- und Ausfuhrbeschränkungen, Zollsysteme und andere zollrelevante Themen.
	"
http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,universitären Fachbereich verwalten,"Beaufsichtigen und Bewerten der Förderpraktiken der Universität, des Wohlergehens der Studierenden und der Leistungen der Lehrkräfte."
http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,Terminologiedatenbanken entwickeln,"Nach Überprüfung ihrer Legitimität Zusammentragen und Übermitteln von Begriffen, um Terminologiedatenbanken in einer Vielzahl von Bereichen aufzubauen."
http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e,Nährwerteigenschaften von Lebensmitteln bewerten,"Bewertung des Nährwerts von Lebensmitteln, einschließlich des Anteils an Fetten, Kohlenhydraten, Zucker und Vitaminen, um zu einer besseren, gesunden Ernährung beizutragen.
	"
http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,Elektrofahrräder instand setzen,"Überprüfen der Funktionsweise der elektrischen Komponenten, Kabel und Sicherungen. Überprüfen auf Schäden und Störungen und Ermitteln der Ursache. Demontage und Reparatur von Fahrradkomponenten, z. B. Zusatzantriebe, Schaltungen, Stromversorgungssysteme und Beleuchtung. Anpassen der mechanischen und elektronischen Schaltungen, der Antriebe, der Bremssysteme und der Bauteile des Fahrradrahmens. Überprüfen der Schmiermittel und Betriebsflüssigkeiten dahin gehend, ob Flüssigkeiten ausgetauscht oder nachgefüllt werden müssen."
http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,Sortierausrüstung warten,Routinemäßiges Warten und Durchführen kleinerer Reparaturen an der für die Sortierung von Abfällen und recycelbaren Materialien eingesetzten Ausrüstung.
http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443,die Ausstattung des Gästezimmers erklären,Erläutern der Unterbringungsmöglichkeiten von Gästen und Demonstrieren der Nutzung.
http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73,Arten von Gerste,Die verschiedenen Arten von Gerste; ihre Merkmale und ihre Qualität.
http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,"Das Computerprogramm KDevelop ist eine Suite von Softwareentwicklungswerkzeugen für Schreibprogramme, z. B. Compiler, Debugger, Code-Editor und Code-Highlights, die in einer einheitlichen Benutzeroberfläche verpackt sind. Es wird von der Softwaregemeinschaft KDE entwickelt."
http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,Fahrzeugteile kaufen,"Bestellen spezieller Teile, die für die Wartung und Reparatur einer Vielzahl von Fahrzeugen erforderlich sind.
	"
http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,Offshorebauwerke untersuchen,"Regelmäßige Inspektion während und nach dem Bau von Offshore-Anlagen wie Ölplattformen, um die Risikominimierung und die Einhaltung der Vorschriften sicherzustellen."
http://data.europa.eu/esco/skill/01468114-b99c-4f48-9374-a520a7faa9c9,Patienten/Patientinnen in medizinische Einrichtungen transportieren,Hilfe beim Heben und Tragen von Patienten in das Rettungsfahrzeug und bei der Ankunft in der medizinischen Einrichtung.
http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136,Umschlagzuschnitt einstellen,"Sicherstellen, dass die richtigen Vorgaben für die Fensterung (Zuschnitt und Einfügen der Fensterfolie) berücksichtigt werden. Aufbringen der Gummierung auf der Umschlagsilhouette und im Fensterbereich durch die Maschine. Anpassen des Umschlags in Bezug auf Fenster, Gummierung, Falz und Glattheit der Oberfläche einzustellen."
http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,Öle vorbereiten,"Auswählen, Mischen und Kombinieren der geeigneten Öle für den Kunden, um individuelle Mixturen für die spezifischen Bedürfnisse der Kunden zu erstellen, Führen von Aufzeichnungen über die Behandlungen und die im Rahmen der Therapie eingesetzten Ölmischungen."
http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,Vorräte einkaufen,"Einkaufen und Aufstocken von Vorräten; Sicherstellen, dass alle benötigten Waren vorhanden sind."
http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a,bei der Konzeption von Lebensmitteln Exzellenz anstreben,"Versuchen, Lebensmittel in möglichst hoher Qualität zu entwickeln."
http://data.europa.eu/esco/skill/0162b701-6bb4-400a-b557-7996053d7daf,bei Reinigungsarbeiten persönliche Hygienestandards wahren,"Im Einklang mit den für die betreffende Tätigkeit oder Organisation geltenden Vorschriften für die Sicherheit und den Gesundheitsschutz sicherstellen, dass bei der Durchführung von Reinigungstätigkeiten die persönliche Hygiene und Sauberkeit gewährleistet ist und eine entsprechende Schutzausrüstung getragen wird."
http://data.europa.eu/esco/skill/0167ee96-f478-4383-afe6-aabf387da5b3,mit Schreibkräften in Kontakt stehen,"Bereitstellen von Informationen in Bezug auf die Adressaten, das geeignete Format, die Anzahl der erforderlichen Kopien usw., damit die Schreibkräfte die endgültigen Dokumente fertigstellen können."
http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2,Eisenbahnbetrieb beurteilen,"Überprüfen und Untersuchen der vorhandenen Ausrüstungen, Anlagen, Systeme und Verfahren im Schienenverkehr, um die Sicherheit und Effizienz der Eisenbahn zu verbessern, die Qualität zu erhöhen und die Kosten zu senken."
http://data.europa.eu/esco/skill/016e7bf4-fe86-4a1f-ace1-54e5b697293d,Extremsportarten ausüben,"Ausüben von Sportarten, bei denen davon auszugehen ist, dass sie ein hohes Maß an inhärenter Gefahr aufweisen und mit Geschwindigkeit, Höhe, starker körperlicher Anstrengung und hoch spezialisierter Ausrüstung verbunden sind."
http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,Maßnahmen zur Förderung der biologischen Vielfalt und des Tierschutzes ergreifen,"Verhaltensweisen an den Tag legen, die zur Erhaltung stabiler Ökosysteme und zur Bekämpfung des Massensterbens beitragen, z. B. durch bewusste Ernährungsentscheidungen, die die ökologische Lebensmittelerzeugung und den Tierschutz unterstützen.
  "
http://data.europa.eu/esco/skill/0174a9e6-bf12-4ac3-bfc3-0a5469410f18,Betreuungspersonen für Kinder am Drehort bereitstellen,"Sicherstellen, dass bei der Arbeit mit Minderjährigen stets eine Betreuungsperson am Drehort anwesend ist."
http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5,Arbeitsvorgänge organisieren,"Organisieren, Zuweisen und Koordinieren der Teammitglieder. Organisieren von Produktionsprogrammen und Planen von Produktion und Absatz. Beschaffen von Material und Ausrüstung. Verwalten der Bestände."
http://data.europa.eu/esco/skill/017738e7-7d12-4e87-a580-8523405bab96,Glasgravur-Werkzeug verwenden,"Abhängig von der Art des Glases oder der Glaswaren Verwenden von Gravurwerkzeugen mit Stahl-, Stein- oder Kupferrädern."
http://data.europa.eu/esco/skill/017d3b78-ebfa-431d-acc5-8050e9b0fdc8,Abrissbirne steuern,"Einsatz einer Abrissbirne, um ein Gebäude oder Teile davon abzureißen. Anheben der Abrissbirne mithilfe eines Krans. Schwingen oder Pendeln der Abrissbirne, bis sie auf die abzureißende Struktur trifft. Vermeiden von Fehlversuchen, da das Gewicht und die Dynamik der Abrissbirne den Kran destabilisieren können."
http://data.europa.eu/esco/skill/018164df-2814-4926-bdf7-398d86b9dfe6,Stoffqualität bewerten,"Bewerten von Nähten, Konfektionen, Aufnähern, Verschlüssen, Verzierungen, Stoffschattierungen, Mustertreue und -übereinstimmung, Bändern und Futtern."
http://data.europa.eu/esco/skill/01819474-b960-4b8f-b020-2da26518d43a,Rückerstattungen beantragen,"Anfragen beim Lieferanten, um Waren zurückzusenden oder zu tauschen oder eine Rückerstattung zu erhalten."
http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,Durchführbarkeitsstudie für Gebäudemanagementsysteme ausführen,"Bewertung und Einschätzung des Potenzials eines Gebäudemanagementsystems durchführen. Durchführung einer standardisierten Studie zur Ermittlung des Energieeinsparungsbeitrags, der Kosten und der Einschränkungen sowie Durchführung von Untersuchungen zur Unterstützung des Entscheidungsfindungsprozesses.
	"
http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (Lernmanagementsysteme),"Das Lernsystem Absorb ist eine E-Learning-Plattform zur Schaffung, Verwaltung und Bereitstellung von E-Learning-Kursen oder Schulungsprogrammen für Schüler der Sekundarstufe."
http://data.europa.eu/esco/skill/0194a8eb-c262-411a-ad3f-f3d587630562,administrative Aufgaben für kleine Schiffe wahrnehmen,"Erfüllen administrativer und arbeitsrechtlicher Anforderungen. Planen der Bereitstellung, des Empfangs und des Verladens von Waren. Freigeben des Schiffs gemäß den geltenden Vorschriften."
http://data.europa.eu/esco/skill/0196d283-9b1a-43a5-b219-43580c7cf560,Inhaltsstoffe von Kosmetika,Eine Vielzahl von Kosmetika besteht aus Inhaltsstoffen wie zerkleinerten Insekten bis hin zu Rost.
http://data.europa.eu/esco/skill/01a6e6ae-32d5-440a-bdb3-c9ed8a1f57c0,Erfahrungen im Umgang mit der Sicherheit von Gästen,Merkmale von menschlichem Verhalten und menschlicher Interaktion und Dynamik zur Gewährleistung der Sicherheit von Gästen.
http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521,zu Baumaterialien beraten,Anbieten einer Beratung und Testen verschiedener Baumaterialien.
http://data.europa.eu/esco/skill/01c4bbed-0449-44c9-9c05-48c30ffdcc22,rotierende Ausrüstungen warten,"Routinemäßiges Warten rotierender Ausrüstungen, um sicherzustellen, dass sie sauber, sicher und funktionsfähig sind."
http://data.europa.eu/esco/skill/01cea4d4-41fa-42a2-9bf7-7ba0a8f439c1,Freiwillige im Secondhandladen leiten,"Koordinieren von Freiwilligen, die in einem Second-Hand-Laden arbeiten."
http://data.europa.eu/esco/skill/01d3d692-dcba-4544-82d2-fc27726bdbbc,Pumpvorrichtungen für Einlagerungszwecke,"Lagerung von Tanks oder anderen Anlagen zur Verarbeitung von gebleichtem Zellstoff für weitere Schritte im Papierherstellungsverfahren.
	"
http://data.europa.eu/esco/skill/01d80f57-3906-44e9-8592-fd1bd8a35808,biomedizinische und medizinische Wissenschaften im Zusammenhang mit der Zahnmedizin,"Verhaltenskomponente und soziales Umfeld, die die Gesundheit des Menschen beeinflussen, in Bezug auf die Zahnmedizin."
http://data.europa.eu/esco/skill/01e5d2e2-d368-4fb9-9be9-9923146482c4,Details des Gussverfahrens beobachten,"Begleiten von Gießarbeiten in der Metallbearbeitung, um den Besonderheiten und Qualitätsaspekten der Gusse und der Gussformen Rechnung zu tragen."
http://data.europa.eu/esco/skill/01e66e1c-97d9-4829-bee1-f3ab649161e8,biomedizinische Wissenschaften,"Grundsätze der Naturwissenschaften auf die Medizin angewandt. Medizinwissenschaften, wie die medizinische Mikrobiologie und klinische Virologie, wenden die Grundsätze der Biologie für medizinische Kenntnisse und Erfindungen an."
http://data.europa.eu/esco/skill/01e7dee7-3ff1-4807-acad-058dbed91aba,bei Produktkenntnis auf dem Laufenden halten,"Zusammenstellen der neuesten Informationen über Entwicklungen im Zusammenhang mit vorhandenen oder unterstützten Produkten, Methoden oder Techniken."
http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a,Ungarisch schreiben,Verfassen schriftlicher Texte in ungarischer Sprache.
http://data.europa.eu/esco/skill/01f91b5b-3e2f-40a2-ab88-bc8113c0ab37,Bohrspülung überwachen,"Überwachen und Warten der Bohrspülung, auch Bohrschlamm genannt. Hinzufügen verschiedener Chemikalien zu der Flüssigkeit, um verschiedene Funktionen bei Bohrungsarbeiten zu erfüllen: Kühlen der Bohrerspitze, Aufbauen von hydrostatischem Druck usw."
http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750,Effizienzpläne für die Seeschifffahrt entwickeln,Sicherstellen einer möglichst effizienten Nutzung der Laderäume und Schiffsbewegungen; Überwachen der Anzahl der vorhandenen Kräne und Dockplätze und Bewerten des physischen Zustands der Schiffe und der Auswirkungen des Frachtgewichts auf die Stabilität der Schiffe.
http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8,Verpackungsmaschinen bedienen,"Bedienen von Verpackungsmaschinen wie Füll-, Etikettierungs- und Verschließmaschinen. Erfassen der Bestände und Sortieren der Produkte, die gemäß Spezifikationen verarbeitet werden sollen. Auffüllen der erforderlichen Verpackungsmaterialien wie Kisten, Kartons, Packpapier, Plastikfolien, Klebstoff, Tinte oder Etiketten."
http://data.europa.eu/esco/skill/01ffbbf3-0c62-45e0-92d9-01a86dc7c81d,über den Umgang mit Tonprodukten aufklären,Beraten anderer Arbeitnehmer bezüglich der Abdeckung von Endprodukten mit Planen.
http://data.europa.eu/esco/skill/0200e5e6-218d-4dae-b1ab-250382250ecb,Bohrausrüstung warten,Warten und Reparieren verschiedener Arten von Bohrausrüstung.
http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5,Baumkrankheiten bekämpfen,Identifizieren von kranken oder unerwünschten Bäumen. Entfernen dieser Bäume mit Motor- oder Handsägen.
http://data.europa.eu/esco/skill/0207f83d-a1e4-4b47-b80c-84d41257791f,das künstlerische Konzept anhand des Geschehens auf der Bühne analysieren,"Analysieren des künstlerischen Konzepts, der Art und Struktur einer Live-Darbietung auf der Grundlage von Beobachtungen während der Proben oder Improvisationen. Schaffen einer strukturierten Basis für die Konzeption einer bestimmten Produktion."
